FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
090205;2200;;14,5;;
090205;2300;;11,4;;
090206;0000;;9,29999;;
090206;0100;;6,89999;;
090206;0200;;5,39999;;
090206;0300;;5,8;;
090206;0400;;5,6;;
090206;0500;;6,6;;
090206;0600;;10,6;;
090206;0700;;10,6;;
090206;0800;;13,8;;
090206;0900;;17,9;;
090206;1000;;11,9;;
090206;1100;;14,8;;
090206;1200;;9,7;;
090206;1300;;5,3;;
090206;1400;;2,8;;
090206;1500;;3,3;;
090206;1600;;4,3;;
090206;1700;;5,89999;;
090206;1800;;5,89999;;
090206;1900;;4;;
090206;2000;;2,7;;
090206;2100;;1,5;;
090206;2200;;3,6;;
090206;2300;;5,8;;
090207;0000;;7,6;;
090207;0100;;7,1;;
090207;0200;;4,89999;;
090207;0300;;5,39999;;
090207;0400;;6,39999;;
090207;0500;;5,5;;
090207;0600;;4,5;;
090207;0700;;5,39999;;
090207;0800;;3,1;;
090207;0900;;3,1;;
090207;1000;;4,6;;
090207;1100;;6;;
090207;1200;;20,9;;
090207;1300;;35,1;;
090207;1400;;41,4;;
090207;1500;;35;;
090207;1600;;20,9;;
090207;1700;;13,4;;
090207;1800;;7,6;;
090207;1900;;6,1;;
090207;2000;;3,4;;
090207;2100;;2,6;;
090207;2200;;2,4;;
090207;2300;;4,5;;
090208;0000;;4;;
090208;0100;;2,1;;
090208;0200;;4,3;;
090208;0300;;2,8;;
090208;0400;;1,4;;
090208;0500;;1,6;;
090208;0600;;0,9;;
090208;0700;;5;;
090208;0800;;6;;
090208;0900;;4,5;;
090208;1000;;13,8;;
090208;1100;;25;;
090208;1200;;15,7;;
090208;1300;;23,1;;
090208;1400;;15,6;;
090208;1500;;12;;
090208;1600;;8,79999;;
090208;1700;;11,3;;
090208;1800;;5,89999;;
090208;1900;;6,6;;
090208;2000;;4,3;;
090208;2100;;4,8;;
090208;2200;;12,2;;
090208;2300;;7,2;;
090209;0000;;3,7;;
090209;0100;;5,8;;
090209;0200;;2,9;;
090209;0300;;3;;
090209;0400;;3,5;;
090209;0500;;5,5;;
090209;0600;;3,2;;
090209;0700;;5,6;;
090209;0800;;6,5;;
090209;0900;;5,3;;
090209;1000;;14,3;;
090209;1100;;16,5;;
090209;1200;;34,8;;
090209;1300;;27,1;;
090209;1400;;22,6;;
090209;1500;;18,1;;
090209;1600;;13,8;;
090209;1700;;10,6;;
090209;1800;;36,5;;
090209;1900;;26,1;;
090209;2000;;15,8;;
090209;2100;;4,8;;
090209;2200;;5,7;;
090209;2300;;6,1;;
090210;0000;;4,5;;
090210;0100;;2,8;;
090210;0200;;2;;
090210;0300;;5;;
090210;0400;;4,1;;
090210;0500;;5,7;;
090210;0600;;6,6;;
090210;0700;;3,7;;
090210;0800;;3;;
090210;0900;;17,8;;
090210;1000;;14;;
090210;1100;;13;;
090210;1200;;23,2;;
090210;1300;;19,2;;
090210;1400;;20;;
090210;1500;;16,5;;
090210;1600;;15,7;;
090210;1700;;22,8;;
090210;1800;;13,1;;
090210;1900;;9,59998;;
090210;2000;;5,6;;
090210;2100;;14,8;;
090210;2200;;25,1;;
090210;2300;;16,2;;
090211;0000;;9,79999;;
090211;0100;;8,39998;;
090211;0200;;4,8;;
090211;0300;;3,6;;
090211;0400;;1,8;;
090211;0500;;3,4;;
090211;0600;;4,7;;
090211;0700;;2,5;;
090211;0800;;2,4;;
090211;0900;;6,3;;
090211;1000;;14,4;;
090211;1100;;15,7;;
090211;1200;;17,8;;
090211;1300;;10,7;;
090211;1400;;22,1;;
090211;1500;;14,4;;
090211;1600;;10,2;;
090211;1700;;7,3;;
090211;1800;;5,8;;
090211;1900;;6,6;;
090211;2000;;12,9;;
090211;2100;;7,5;;
090211;2200;;7,1;;
090211;2300;;5;;
090212;0000;;4;;
090212;0100;;2,1;;
090212;0200;;4;;
090212;0300;;3,2;;
090212;0400;;4,89999;;
090212;0500;;2,7;;
090212;0600;;4,5;;
090212;0700;;3,1;;
090212;0800;;1,8;;
090212;0900;;12,3;;
090212;1000;;23,5;;
090212;1100;;24;;
090212;1200;;17,2;;
090212;1300;;25,3;;
090212;1400;;22,9;;
090212;1500;;23,3;;
090212;1600;;18,9;;
090212;1700;;23,5;;
090212;1800;;16,8;;
090212;1900;;8,89998;;
090212;2000;;6,6;;
090212;2100;;1,3;;
090212;2200;;1,6;;
090212;2300;;3,9;;
090213;0000;;2,6;;
090213;0100;;1,3;;
090213;0200;;1,9;;
090213;0300;;4,89999;;
090213;0400;;5,7;;
090213;0500;;6,39999;;
090213;0600;;3,5;;
090213;0700;;3,7;;
090213;0800;;2,4;;
090213;0900;;1,3;;
090213;1000;;4,39999;;
090213;1100;;6,2;;
090213;1200;;3,8;;
090213;1300;;17,3;;
090213;1400;;15,3;;
090213;1500;;22,2;;
090213;1600;;17,7;;
090213;1700;;10,7;;
090213;1800;;13,9;;
090213;1900;;19,4;;
090213;2000;;13,3;;
090213;2100;;5,6;;
090213;2200;;2,8;;
090213;2300;;1,4;;
090214;0000;;3,7;;
090214;0100;;4;;
090214;0200;;4,39999;;
090214;0300;;3,6;;
090214;0400;;1,9;;
090214;0500;;4,3;;
090214;0600;;4,5;;
090214;0700;;2,5;;
090214;0800;;2,7;;
090214;0900;;15,2;;
090214;1000;;21,7;;
090214;1100;;22,2;;
090214;1200;;19,9;;
090214;1300;;18,2;;
090214;1400;;33,6;;
090214;1500;;43,7;;
090214;1600;;30,9;;
090214;1700;;22,9;;
090214;1800;;15,9;;
090214;1900;;8,5;;
090214;2000;;8;;
